Date,Crypto_Return_Today,exp_value
2020-04-10,0.13373233988531802,
2020-04-11,-0.20236345506140735,
2020-04-12,0.11651247607723914,
2020-04-13,-0.1355645098886556,
2020-04-14,-0.16135824269388946,
2020-04-15,-0.03440916220906259,
2020-04-16,0.09075942498592628,
2020-04-17,-0.042351747672179675,
2020-04-18,0.030361067104990685,
2020-04-19,-0.11584199916953412,
2020-04-20,-0.12891342233135816,
2020-04-21,0.08201244513783426,
2020-04-22,0.17397268827359263,
2020-04-23,-0.08825013055156544,
2020-04-24,0.016246570663309402,
2020-04-25,0.0200987741779152,
2020-04-26,-0.027484819548643506,
2020-04-27,-0.10495960467180196,
2020-04-28,0.13418561514193056,
2020-04-29,0.1188136554636705,
2020-04-30,-0.07812127773591189,
2020-05-01,0.05318615920486025,
2020-05-02,-0.015788076943101487,
2020-05-03,-0.050588497542094976,
2020-05-04,-0.018015203119476516,
2020-05-05,-0.04806449596872735,
2020-05-06,-0.03141672723101167,
2020-05-07,-0.015549519277698955,
2020-05-08,-0.013229497683395184,
2020-05-09,0.0008026070906890868,
2020-05-10,-0.11827581455815313,
2020-05-11,-0.039912989259155866,
2020-05-12,0.04789085922052708,
2020-05-13,0.02233531901088504,
2020-05-14,0.03320278101726708,
2020-05-15,-0.0167257718609469,
2020-05-16,0.0693464609950124,
2020-05-17,0.029402452050854722,
2020-05-18,0.06322566473618102,
2020-05-19,-0.04159196318065373,
2020-05-20,-0.07213167247038829,
2020-05-21,0.04918169929881145,
2020-05-22,0.05408545048776898,
2020-05-23,-0.039005367962541546,
2020-05-24,-0.11064127415654877,
2020-05-25,0.09104215083363873,
2020-05-26,-0.04401387337221882,
2020-05-27,0.030369325559147963,
2020-05-28,-0.026980066270308623,
2020-05-29,0.008172615392820225,
2020-05-30,0.011251458515422811,
2020-05-31,-0.03088707332703218,
2020-06-01,0.006990595335439995,
2020-06-02,-0.02184859526347311,
2020-06-03,0.038139190516195826,
2020-06-04,0.0007358661348150809,
2020-06-05,0.11845424192031286,
2020-06-06,-0.06020916028537448,
2020-06-07,-0.00946728301214187,
2020-06-08,0.08300762203428264,
2020-06-09,-0.01475673181526625,
2020-06-10,-0.020218612435409598,
2020-06-11,-0.11689686328681156,
2020-06-12,0.03392651213712804,
2020-06-13,0.024932858910008564,
2020-06-14,-0.0398214289405688,
2020-06-15,-0.03060429917243738,
2020-06-16,0.025944353134725383,
2020-06-17,-0.0067435390004385596,
2020-06-18,0.06550823839291364,
2020-06-19,0.0948489488310742,
2020-06-20,-0.0587328333842784,
2020-06-21,0.04095826870737697,
2020-06-22,0.07760074785360493,
2020-06-23,-0.02575070180797178,
2020-06-24,0.039387375537357834,
2020-06-25,-0.03297008428994605,
2020-06-26,0.03937156173248021,
2020-06-27,-0.035855758584963406,
2020-06-28,0.11247898404219416,
2020-06-29,0.06539055740174944,
2020-06-30,0.008256383936993992,
2020-07-01,-0.03623256445681467,
2020-07-02,-0.06439719039392983,
2020-07-03,-0.01798997709481099,
2020-07-04,0.01605785451201821,
2020-07-05,-0.12032313974740481,
2020-07-06,0.023213845685082432,
2020-07-07,0.0618854290242557,
2020-07-08,0.05636553235348108,
2020-07-09,0.07218435658109662,
2020-07-10,0.0682331191868135,
2020-07-11,0.012038170500589678,
2020-07-12,0.0957768707471404,
2020-07-13,0.1453148413655523,
2020-07-14,-0.021031184135091086,
2020-07-15,0.11672478668505061,
2020-07-16,-0.3864708507245896,
2020-07-17,0.1159755003404564,
2020-07-18,-0.011246432985970403,
2020-07-19,-0.050483259395056705,
2020-07-20,-0.05289578123689335,
2020-07-21,0.11280343750296819,
2020-07-22,0.06620885088851618,
2020-07-23,0.0035200918315137003,
2020-07-24,-0.05330646080768703,
2020-07-25,0.22949080590745496,
2020-07-26,0.22903908135120693,
2020-07-27,0.12789829440726455,
2020-07-28,-2.465584796246547e-05,
2020-07-29,-0.0740029244383696,
2020-07-30,0.017051093134848077,
2020-07-31,-0.09223883663069722,
2020-08-01,-0.004019745711180917,
2020-08-02,0.13028986992339117,
2020-08-03,0.03979191609045768,
2020-08-04,0.03902119732495406,
2020-08-05,-0.06411953540576817,
2020-08-06,0.22912623137132548,
2020-08-07,-0.054693599276844945,
2020-08-08,0.1714488005771875,
2020-08-09,0.0754416752848261,
2020-08-10,0.16131612490236327,
